0,9
0,14
1,3
1,43
2,17
2,41
3,18
3,26
4,31
4,44
5,47
5,46
6,42
6,18
7,0
7,10
8,15
8,42
9,39
9,40
10,31
10,30
11,10
11,13
12,24
12,7
13,14
13,0
14,33
14,10
15,22
15,24
16,23
16,29
17,3
17,29
18,19
18,13
19,39
19,40
20,29
20,34
21,17
21,43
22,26
22,49
23,6
23,41
24,7
24,43
25,18
25,12
26,40
26,12
27,16
27,26
28,39
28,43
29,1
29,33
30,39
30,9
31,47
31,12
32,7
32,9
33,23
33,43
34,17
34,27
35,16
35,40
36,41
36,18
37,48
37,35
38,24
38,11
39,21
39,21
40,33
40,29
41,14
41,35
42,2
42,14
43,11
43,39
44,49
44,33
45,40
45,9
46,25
46,44
47,8
47,42
48,36
48,9
49,22
49,20
50,58
50,93
51,60
51,80
52,57
52,54
53,67
53,56
54,84
54,53
55,65
55,79
56,79
56,83
57,73
57,83
58,96
58,66
59,81
59,92
60,60
60,96
61,82
61,52
62,99
62,74
63,76
63,87
64,79
64,70
65,54
65,87
66,99
66,96
67,55
67,81
68,51
68,52
69,65
69,72
70,62
70,68
71,82
71,79
72,98
72,51
73,53
73,54
74,53
74,64
75,90
75,96
76,77
76,95
77,73
77,82
78,79
78,57
79,90
79,90
80,87
80,82
81,91
81,72
82,92
82,73
83,60
83,96
84,80
84,94
85,73
85,88
86,63
86,77
87,76
87,60
88,92
88,65
89,74
89,83
90,94
90,54
91,51
91,96
92,89
92,97
93,85
93,55
94,60
94,50
95,94
95,60
96,64
96,67
97,74
97,54
98,84
98,54
99,97
99,85
45,45
41,27
87,70
26,9
91,90
98,63
22,73
78,90
96,27
37,72
21,54
18,37
96,22
35,75
8,43
67,67
83,41
26,35
89,89
33,56
